subject	predicate	object
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q39725049
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q121132955
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q49848
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q340169
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q732577
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q2424752
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q234460
http://www.wikidata.org/entity/Q571	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q1980247
http://www.wikidata.org/entity/Q39725049	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19478619
http://www.wikidata.org/entity/Q39725049	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q16889133
http://www.wikidata.org/entity/Q121132955	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19478619
http://www.wikidata.org/entity/Q121132955	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q21146257
http://www.wikidata.org/entity/Q49848	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q286583
http://www.wikidata.org/entity/Q49848	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q37866906
http://www.wikidata.org/entity/Q49848	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q340169
http://www.wikidata.org/entity/Q49848	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q3529597
http://www.wikidata.org/entity/Q49848	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q59157099
http://www.wikidata.org/entity/Q340169	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q12774177
http://www.wikidata.org/entity/Q340169	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q35758
http://www.wikidata.org/entity/Q340169	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q386724
http://www.wikidata.org/entity/Q340169	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q15824073
http://www.wikidata.org/entity/Q732577	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q49848
http://www.wikidata.org/entity/Q732577	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q115668308
http://www.wikidata.org/entity/Q732577	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q571
http://www.wikidata.org/entity/Q732577	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q191067
http://www.wikidata.org/entity/Q2424752	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q29028649
http://www.wikidata.org/entity/Q2424752	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q96251598
http://www.wikidata.org/entity/Q2424752	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q488383
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q20088085
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q107478770
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q47461344
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q107435521
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q3241972
http://www.wikidata.org/entity/Q234460	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q88376242
http://www.wikidata.org/entity/Q1980247	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q88392887
http://www.wikidata.org/entity/Q19478619	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q151885
http://www.wikidata.org/entity/Q19478619	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19868531
http://www.wikidata.org/entity/Q19478619	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q23958852
http://www.wikidata.org/entity/Q19478619	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q16889133
http://www.wikidata.org/entity/Q16889133	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19478619
http://www.wikidata.org/entity/Q16889133	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q23958852
http://www.wikidata.org/entity/Q16889133	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q5127848
